activity_category,component_name,component_type,granularity,measure_id,measure_subject,measure_name,measure_short_name,measure_type,planning_ref,presentation_metric,ref_key,directionality,threshold1,threshold2
Beds,Average number of overnight G&A core beds available - paediatric,Denominator,NA,3075,Capacity,Average number of overnight G&A core beds available - paediatric,G&A core Beds overnight -paediatric,Denominator,E.M.30i,yes,E.M.30iDenominator,on,0.01,0.05
Beds,Average number of overnight G&A escalation beds available - paediatric,Denominator,NA,3104,Capacity,Average number of overnight G&A escalation beds available - paediatric,G&A escalation Beds overnight -paediatric,Denominator,E.M.30j,yes,E.M.30jDenominator,on,0.01,0.05
Community,Number of CYP (0-17 years) on community waiting lists per system,Count,ICB,1283,Community,Community services waiting list- children and young people,CS waiting list- children & young people,Count,E.T.2a,yes,E.T.2aCount,under,0.01,0.05
Community,Number of Adults (18+ years) on community waiting lists per system,Count,ICB,1284,Community,Community services waiting list- adults,CS waiting list- adults,Count,E.T.2b,yes,E.T.2bCount,under,0.01,0.05
Community,Hospital discharge pathway activity - pathway 2 - Care home,Count,ICB,3118,Community,Hospital discharge pathway activity - pathway 2,HDP Activity - pathway 2,Count,E.T.3c.i,yes,E.T.3c.iCount,on,0.01,0.05
Community,Hospital discharge pathway activity - pathway 2 - Designated setting,Count,ICB,3119,Community,Hospital discharge pathway activity - pathway 2,HDP Activity - pathway 2,Count,E.T.3c.ii,yes,E.T.3c.iiCount,on,0.01,0.05
Community,Hospital discharge pathway activity - pathway 2 - Hospice,Count,ICB,3120,Community,Hospital discharge pathway activity - pathway 2,HDP Activity - pathway 2,Count,E.T.3c.iii,yes,E.T.3c.iiiCount,on,0.01,0.05
Community,Hospital discharge pathway activity - pathway 2 - Community rehab setting,Count,ICB,3121,Community,Hospital discharge pathway activity - pathway 2,HDP Activity - pathway 2,Count,E.T.3c.iv,yes,E.T.3c.ivCount,on,0.01,0.05
Community,Urgent Community Response (UCR) referrals,Count,ICB,3131,Community,Urgent Community Response (UCR) referrals,UCR,Count,E.T.8,yes,E.T.8Count,on,0.01,0.05
Dentistry,Number of unique patients seen by an NHS dentist - adult,Numerator,ICB,3125,Primary Care,Number of unique patients seen by an NHS dentist - adult,NHS Dentist - adult,Numerator,E.D.22,no,E.D.22Numerator,NA,NA,NA
Dentistry,Number of unique patients seen by an NHS dentist - child,Numerator,ICB,3128,Primary Care,Number of unique patients seen by an NHS dentist - child,NHS Dentist - child,Numerator,E.D.23,no,E.D.23Numerator,NA,NA,NA
Dentistry,Units of dental activity delivered,Numerator,ICB,3132,Primary Care,Units of dental activity delivered,UDAD,Numerator,E.D.24,no,E.D.24Numerator,NA,NA,NA
Community,Community services waiting list over 52 weeks,Count,NA,3135,Community,Community services waiting list over 52 weeks,CS waiting list over 52 weeks,Count,E.T.9,yes,E.T.9Count,under,0.01,0.05
Community,Number of people on waiting lists for CYP services who are waiting over 52 weeks,Count,NA,3136,Community,Community services waiting list over 52 weeks- children and young people,CS waiting list over 52 weeks - CYP,Count,E.T.9a,yes,E.T.9aCount,under,0.01,0.05
Community,Number of people on waiting lists for adult services who are waiting over 52 weeks,Count,NA,3137,Community,Community services waiting list over 52 weeks- adults,CS waiting list over 52 weeks - adults,Count,E.T.9b,yes,E.T.9bCount,under,0.01,0.05
Mental Health,Number of people who are discharged having received at least 2 treatment appointments in the reporting period.,Denominator,ICB,3089,Mental Health,Access to NHS talking therapies for anxiety and depression - reliable improvement,Reliable improvement,Denominator,E.A.4b,no,E.A.4bDenominator,NA,NA,NA
Mental Health,"Number of patients discharged having received at least 2 treatment appointments in the reporting period, that meet caseness at the start of treatment.",Denominator,ICB,3092,Mental Health,Access to NHS talking therapies for anxiety and depression - reliable recovery,Reliable recovery,Denominator,E.A.4a,no,E.A.4aDenominator,NA,NA,NA
Mental Health,Estimated prevalence of dementia based on GP registered populations,Denominator,ICB,1121,Mental Health,Estimated diagnosis rate for people with dementia,Dem. Diagnosis,Denominator,E.A.S.1,no,E.A.S.1Denominator,NA,NA,NA
Ambulance,Category 2 - Mean ambulance response time,Mean,Ambulance trust,1181,Ambulance,Ambulance Response Times - Category 2,Cat 2 Response,Mean,E.B.23c,yes,E.B.23cMean,under,0.01,0.05
Cancer,"Total number of patients receiving communication of diagnosis for cancer or ruling out of cancer, or a decision to treat if made before a communication of diagnosis, following an urgent referral for suspected cancer, an referral for breast symptoms where cancer was not initially suspected or an urgent referral from an NHS Cancer Screening Service, within a given month/quarter",Denominator,Provider & ICB,1050,Cancer,Cancer 28 day waits (faster diagnosis standard),Cancer - FDS,Denominator,E.B.27,no,E.B.27Denominator,NA,NA,NA
Diagnostics,Diagnostic test waiting list total - Magnetic Resonance Imaging,Denominator,ICB,2022,Diagnostic Tests,Diagnostic test waiting list - Magnetic Resonance Imaging,MRI - waiting list,Denominator,E.B.28a,no,E.B.28aDenominator,NA,NA,NA
Diagnostics,Diagnostic test waiting list total - Computed Tomography,Denominator,ICB,2025,Diagnostic Tests,Diagnostic test waiting list - Computed Tomography,CT - waiting list,Denominator,E.B.28b,no,E.B.28bDenominator,NA,NA,NA
Diagnostics,Diagnostic test waiting list total - Non-Obstetric Ultrasound,Denominator,ICB,2028,Diagnostic Tests,Diagnostic test waiting list - Non-Obstetric Ultrasound,Non-Obs Ultra - waiting list,Denominator,E.B.28c,no,E.B.28cDenominator,NA,NA,NA
Diagnostics,Diagnostic test waiting list total - Colonoscopy,Denominator,ICB,2031,Diagnostic Tests,Diagnostic test waiting list - Colonoscopy,Colonoscopy - waiting list,Denominator,E.B.28d,no,E.B.28dDenominator,NA,NA,NA
Diagnostics,Diagnostic test waiting list total - Flexi Sigmoidoscopy,Denominator,ICB,2034,Diagnostic Tests,Diagnostic test waiting list - Flexi Sigmoidoscopy,Flexi Sig - waiting list,Denominator,E.B.28e,no,E.B.28eDenominator,NA,NA,NA
Diagnostics,Diagnostic test waiting list total - Gastroscopy,Denominator,ICB,2037,Diagnostic Tests,Diagnostic test waiting list - Gastroscopy,Gastroscopy - waiting list,Denominator,E.B.28f,no,E.B.28fDenominator,NA,NA,NA
Diagnostics,Diagnostic test waiting list total - Cardiology - Echocardiography,Denominator,ICB,2040,Diagnostic Tests,Diagnostic test waiting list - Cardiology - Echocardiography,Echocardio - waiting list,Denominator,E.B.28g,no,E.B.28gDenominator,NA,NA,NA
Diagnostics,Diagnostic test waiting list - DEXA,Denominator,NA,3082,Diagnostic Tests,Diagnostic test waiting list - DEXA,DEXA - waiting list,Denominator,E.B.28h,no,E.B.28hDenominator,NA,NA,NA
Diagnostics,Diagnostic test waiting list - Audiology,Denominator,NA,3085,Diagnostic Tests,Diagnostic test waiting list - Audiology,Audiology - waiting list,Denominator,E.B.28k,no,E.B.28kDenominator,NA,NA,NA
Cancer,Total number of Lower GI suspected cancer referrals,Denominator,ICB,2019,Cancer,Percentage of Lower GI Suspected Cancer referrals with an accompanying FIT result,Cancer - Lower GI,Denominator,E.B.34,no,E.B.34Denominator,NA,NA,NA
Cancer,Total number of patients seen,Denominator,Provider/ICB,3067,Cancer,"Cancer 62-day pathways. Total patients seen, and of which those seen within 62 days",Cancer - 62 days,Denominator,E.B.35,no,E.B.35Denominator,NA,NA,NA
Mental Health,Number of people on the General Practice SMI registers’,Denominator,ICB,3099,Mental Health,People with severe mental illness receiving a full annual physical health check and follow up interventions,SMI,Denominator,E.H.13,no,E.H.13Denominator,NA,NA,NA
Learning Disabilities and Autism,ONS Resident Population of ICB (Under 18),Denominator,ICB,1106,Learning Disabilities and Autism,Reliance on inpatient care for people with a learning disability and/or autism - Care for children,LD Inpat. - Children,Denominator,E.K.1c,no,E.K.1cDenominator,NA,NA,NA
Learning Disabilities and Autism,Population on the GPs Learning Disability Register,Denominator,ICB,1103,Learning Disabilities and Autism,Learning disability registers and annual health checks delivered by GPs,LD AHC,Denominator,E.K.3,no,E.K.3Denominator,NA,NA,NA
A&E,"Total number of attendances at Type 1, 2, 3 A&E departments, excluding planned follow-up attendances",Denominator,Provider,2065,A&E,Number of attendances at all type A&E departments where the patient spent less than 4 hours from time of arrival to admission / discharge / transfer.,A&E 1 2 3,Denominator,E.M.13,no,E.M.13Denominator,NA,NA,NA
A&E,Number of attendances at type 1 A&E departments.,Denominator,Provider,2049,A&E,Number of attendances at type 1 A&E departments where the patient spent less than 4 hours from time of arrival to admission / discharge / transfer.,A&E 1,Denominator,E.M.13a,no,E.M.13aDenominator,NA,NA,NA
A&E,Number of attendances at other type A&E attendances,Denominator,Provider,2052,A&E,Number of attendances at other type A&E departments where the patient spent less than 4 hours from time of arrival to admission / discharge / transfer.,A&E 2 3,Denominator,E.M.13b,no,E.M.13bDenominator,NA,NA,NA
Beds,Average number of open ACC beds,Denominator,Provider,1190,Capacity,Adult Critical Care Bed occupancy,CC Beds,Denominator,E.M.26b,no,E.M.26bDenominator,NA,NA,NA
Beds,The average number of adult G&A beds occupied.,Denominator,Provider,2046,Capacity,Number of beds occupied by patients no longer meeting the criteria to reside - adult,NCTR,Denominator,E.M.29,no,E.M.29Denominator,NA,NA,NA
Beds,Number of overnight G&A beds occupied - available and occupied,Numerator,NA,3016,Capacity,Average number of overnight G&A beds occupancy - Total,G&A Beds overnight-available and occupied,Numerator,E.M.30,no,E.M.30Numerator,NA,NA,NA
Outpatients,PIFU as percentage of total outpatient attendances,Percentage,Provider/ICB,3112,Outpatient,Number of episodes moved or discharged to patient initiated outpatient follow-up pathway as an outcome of their attendance,PIFU pathway,Percentage,E.M.34,yes,E.M.34Percentage,NA,0.01,0.05
GP,Total number of appointments,Denominator,NA,3113,Primary Care,Appointments seen within two weeks,GP Appoint-2 weeks,Denominator,E.D.21,no,E.D.21Denominator,NA,NA,NA
Community,The number of patients on the virtual ward,Numerator,ICB,2078,Community,Virtual ward capacity,VW Capacity,Numerator,E.T.5,no,E.T.5Numerator,NA,NA,NA
Community,Community beds available,Denominator,NA,3078,Community,Community beds occupancy,Community beds occupancy,Denominator,E.T.6,no,E.T.6Denominator,NA,NA,NA
Learning Disabilities and Autism,ONS Resident Population of ICB (18+),Denominator,NA,3115,Learning Disabilities and Autism,Reliance on mental health inpatient care for adults with a learning disability and autistic adults,LD Inpat. - Adults,Denominator,E.K.1,no,E.K.1Denominator,NA,NA,NA
Outpatients,Percentage outpatients follow-up without a procedure,Percentage,ICB,3097,Outpatient,Outpatient follow up attendances without procedure - ERF scope,OPFU ERF,Percentage,E.M.38,yes,E.M.38Percentage,over,0.01,0.05
Dentistry,Resident population registered with any GP,Denominator,ICB,3126,Primary Care,Number of unique patients seen by an NHS dentist - adult,NHS Dentist - adult,Denominator,E.D.22,no,E.D.22Denominator,NA,NA,NA
Dentistry,Resident population registered with any GP,Denominator,ICB,3129,Primary Care,Number of unique patients seen by an NHS dentist - child,NHS Dentist - child,Denominator,E.D.23,no,E.D.23Denominator,NA,NA,NA
Dentistry,Units of dental activity contracted,Denominator,ICB,3133,Primary Care,Units of dental activity delivered,UDAD,Denominator,E.D.24,no,E.D.24Denominator,NA,NA,NA
Mental Health,%,Percentage,ICB,3090,Mental Health,Access to NHS talking therapies for anxiety and depression - reliable improvement,Reliable improvement,Percentage,E.A.4b,yes,E.A.4bPercentage,over,0.01,0.05
Mental Health,%,Percentage,ICB,3093,Mental Health,Access to NHS talking therapies for anxiety and depression - reliable recovery,Reliable recovery,Percentage,E.A.4a,yes,E.A.4aPercentage,over,0.01,0.05
Mental Health,Estimated prevalence of dementia based on GP registered populations,Percentage,ICB,1122,Mental Health,Estimated diagnosis rate for people with dementia,Dem. Diagnosis,Percentage,E.A.S.1,yes,E.A.S.1Percentage,NA,0.01,0.05
Ambulance,NA,90th centile,Ambulance trust,1182,Ambulance,Ambulance Response Times - Category 2,Cat 2 Response,90th centile,E.B.23c,no,E.B.23c90th centile,NA,NA,NA
Cancer,"Percentage of patients receiving a communication of diagnosis  for cancer or a ruling out of cancer, or a decision to treat if made before a communication of diagnosis within 28 days following",Percentage,Provider & ICB,1051,Cancer,Cancer 28 day waits (faster diagnosis standard),Cancer - FDS,Percentage,E.B.27,yes,E.B.27Percentage,over,0.01,0.05
Diagnostics,Diagnostic test waiting list percentage - Magnetic Resonance Imaging,Percentage,ICB,2023,Diagnostic Tests,Diagnostic test waiting list - Magnetic Resonance Imaging,MRI - waiting list,Percentage,E.B.28a,yes,E.B.28aPercentage,over,0.01,0.05
Diagnostics,Diagnostic test waiting list percentage - Computed Tomography,Percentage,ICB,2026,Diagnostic Tests,Diagnostic test waiting list - Computed Tomography,CT - waiting list,Percentage,E.B.28b,yes,E.B.28bPercentage,over,0.01,0.05
Diagnostics,Diagnostic test waiting list percentage - Non-Obstetric Ultrasound,Percentage,ICB,2029,Diagnostic Tests,Diagnostic test waiting list - Non-Obstetric Ultrasound,Non-Obs Ultra - waiting list,Percentage,E.B.28c,yes,E.B.28cPercentage,over,0.01,0.05
Diagnostics,Diagnostic test waiting list percentage - Colonoscopy,Percentage,ICB,2032,Diagnostic Tests,Diagnostic test waiting list - Colonoscopy,Colonoscopy - waiting list,Percentage,E.B.28d,yes,E.B.28dPercentage,over,0.01,0.05
Diagnostics,Diagnostic test waiting list percentage - Flexi Sigmoidoscopy,Percentage,ICB,2035,Diagnostic Tests,Diagnostic test waiting list - Flexi Sigmoidoscopy,Flexi Sig - waiting list,Percentage,E.B.28e,yes,E.B.28ePercentage,over,0.01,0.05
Diagnostics,Diagnostic test waiting list percentage - Gastroscopy,Percentage,ICB,2038,Diagnostic Tests,Diagnostic test waiting list - Gastroscopy,Gastroscopy - waiting list,Percentage,E.B.28f,yes,E.B.28fPercentage,over,0.01,0.05
Diagnostics,Diagnostic test waiting list percentage - Cardiology - Echocardiography,Percentage,ICB,2041,Diagnostic Tests,Diagnostic test waiting list - Cardiology - Echocardiography,Echocardio - waiting list,Percentage,E.B.28g,yes,E.B.28gPercentage,over,0.01,0.05
Diagnostics,Diagnostic test waiting list - DEXA,Percentage,NA,3083,Diagnostic Tests,Diagnostic test waiting list - DEXA,DEXA - waiting list,Percentage,E.B.28h,yes,E.B.28hPercentage,over,0.01,0.05
Diagnostics,Diagnostic test waiting list - Audiology,Percentage,NA,3086,Diagnostic Tests,Diagnostic test waiting list - Audiology,Audiology - waiting list,Percentage,E.B.28k,yes,E.B.28kPercentage,over,0.01,0.05
Cancer,Percentage of Lower GI suspected cancer referrals with an accompanying FIT result,Percentage,ICB,2020,Cancer,Percentage of Lower GI Suspected Cancer referrals with an accompanying FIT result,Cancer - Lower GI,Percentage,E.B.34,yes,E.B.34Percentage,over,0.01,0.05
Cancer,Percentage of patients seen within 62 days,Percentage,Provider/ICB,3068,Cancer,"Cancer 62-day pathways. Total patients seen, and of which those seen within 62 days",Cancer - 62 days,Percentage,E.B.35,yes,E.B.35Percentage,over,0.01,0.05
Mental Health,Percentage of people with severe mental illness receiving a full annual physical health check,Percentage,ICB,3100,Mental Health,People with severe mental illness receiving a full annual physical health check and follow up interventions,SMI,Percentage,E.H.13,yes,E.H.13Percentage,over,0.01,0.05
Learning Disabilities and Autism,Learning Disability Inpatient Rate per Million ONS Resident Population,Rate,ICB,1107,Learning Disabilities and Autism,Reliance on inpatient care for people with a learning disability and/or autism - Care for children,LD Inpat. - Children,Rate,E.K.1c,yes,E.K.1cRate,NA,0.01,0.05
Learning Disabilities and Autism,%,Percentage,ICB,1104,Learning Disabilities and Autism,Learning disability registers and annual health checks delivered by GPs,LD AHC,Percentage,E.K.3,yes,E.K.3Percentage,over,0.01,0.05
A&E,"Percentage of attendances at Type 1, 2, 3 A&E departments, excluding planned follow-up attendances, departing in less than 4 hours",Percentage,Provider,2066,A&E,Number of attendances at all type A&E departments where the patient spent less than 4 hours from time of arrival to admission / discharge / transfer.,A&E 1 2 3,Percentage,E.M.13,yes,E.M.13Percentage,over,0.01,0.05
A&E,"Percentage of attendances at Type 1 A&E departments, excluding planned follow-up attendances, departing in less than 4 hours",Percentage,Provider,2050,A&E,Number of attendances at type 1 A&E departments where the patient spent less than 4 hours from time of arrival to admission / discharge / transfer.,A&E 1,Percentage,E.M.13a,yes,E.M.13aPercentage,over,0.01,0.05
A&E,"Percentage of attendances at Type 2 and 3 A&E departments, excluding planned follow-up attendances, departing in less than 4 hours",Percentage,Provider,2053,A&E,Number of attendances at other type A&E departments where the patient spent less than 4 hours from time of arrival to admission / discharge / transfer.,A&E 2 3,Percentage,E.M.13b,yes,E.M.13bPercentage,over,0.01,0.05
Beds,%,Percentage,Provider,1191,Capacity,Adult Critical Care Bed occupancy,CC Beds,Percentage,E.M.26b,yes,E.M.26bPercentage,on,0.01,0.05
Beds,Percentage of beds occupied by patients no longer meeting the critera to reside - adult,Percentage,Provider,2047,Capacity,Number of beds occupied by patients no longer meeting the criteria to reside - adult,NCTR,Percentage,E.M.29,yes,E.M.29Percentage,under,0.01,0.05
Beds,Number of overnight G&A beds occupied - available and occupied,Denominator,NA,3017,Capacity,Average number of overnight G&A beds occupancy - Total,G&A Beds overnight-available and occupied,Denominator,E.M.30,no,E.M.30Denominator,NA,NA,NA
Beds,Average number of overnight G&A beds occupancy - adult,Percentage,Provider,3074,Capacity,General and Acute overnight bed occupancy - adult,G&A core beds overnight,Percentage,E.M.30a,yes,E.M.30aPercentage,on,0.01,0.05
Beds,Average number of overnight G&A beds occupancy - paediatric,Percentage,Provider,3076,Capacity,General and Acute overnight bed occupancy - paediatric,G&A core beds overnight,Percentage,E.M.30b,yes,E.M.30bPercentage,on,0.01,0.05
GP,Percentage of appointments seen within two weeks,Percentage,NA,3114,Primary Care,Appointments seen within two weeks,GP Appoint-2 weeks,Percentage,E.D.21,yes,E.D.21Percentage,over,0.01,0.05
Community,Virtual ward occupancy,Percentage,ICB,2079,Community,Virtual ward capacity,VW Capacity,Percentage,E.T.5,yes,E.T.5Percentage,on,0.01,0.05
Community,%,Percentage,NA,3117,Community,Community beds occupancy,Community beds occupancy,Percentage,E.T.6,yes,E.T.6Percentage,on,0.01,0.05
Learning Disabilities and Autism,Learning Disability Inpatient Rate per Million ONS Resident Population,Rate,NA,3116,Learning Disabilities and Autism,Reliance on mental health inpatient care for adults with a learning disability and autistic adults,LD Inpat. - Adults,Rate,E.K.1,yes,E.K.1Rate,NA,0.01,0.05
Dentistry,Percentage of resident population seen by an NHS dentist - adult,Percentage,ICB,3127,Primary Care,Number of unique patients seen by an NHS dentist - adult,NHS Dentist - adult,Percentage,E.D.22,yes,E.D.22Percentage,over,0.01,0.05
Dentistry,Percentage of resident population seen by an NHS dentist - child,Percentage,ICB,3130,Primary Care,Number of unique patients seen by an NHS dentist - child,NHS Dentist - child,Percentage,E.D.23,yes,E.D.23Percentage,over,0.01,0.05
Dentistry,Units of dental activity delivered,Percentage,ICB,3134,Primary Care,Units of dental activity delivered,UDAD,Percentage,E.D.24,yes,E.D.24Percentage,on,0.01,0.05
A&E,"Total number of attendances at Type 1, 2, 3 A&E departments, excluding planned follow-up attendances",Count,Provider,3065,A&E,Number of attendances at all type A&E departments where the patient spent less than 4 hours from time of arrival to admission / discharge / transfer.,A&E 1 2 3,Count,E.M.13,no,E.M.13Count,NA,NA,NA
A&E,Number of attendances at type 1 A&E departments.,Count,Provider,3049,A&E,Number of attendances at type 1 A&E departments where the patient spent less than 4 hours from time of arrival to admission / discharge / transfer.,A&E 1,Count,E.M.13a,no,E.M.13aCount,NA,NA,NA
A&E,Number of attendances at other type A&E attendances,Count,Provider,3052,A&E,Number of attendances at other type A&E departments where the patient spent less than 4 hours from time of arrival to admission / discharge / transfer.,A&E 2 3,Count,E.M.13b,no,E.M.13bCount,NA,NA,NA
Beds,Average number of open ACC beds,Count,Provider,3018,Capacity,Adult Critical Care Bed occupancy,CC Beds,Count,E.M.26b,no,E.M.26bCount,NA,NA,NA
Beds,Number of overnight G&A beds occupied - available and occupied,Count,NA,3020,Capacity,Average number of overnight G&A beds occupancy - Total,G&A Beds overnight-available and occupied,Count,E.M.30,no,E.M.30Count,NA,NA,NA
Beds,Average number of overnight G&A beds available - adult,Numerator,Provider,SE_EM30a_D,Capacity,General and Acute overnight bed occupancy - adult,G&A core beds overnight,Denominator,E.M.30a,no,E.M.30aDenominator,NA,NA,NA
Beds,Average number of overnight G&A beds available - paediatric,Numerator,Provider,SE_EM30b_D,Capacity,General and Acute overnight bed occupancy - paediatric,G&A core beds overnight,Denominator,E.M.30b,no,E.M.30bDenominator,NA,NA,NA
